Code,Borough,Total_Households,No_Car_Households,One_Car_Households,Two_Car_Households,Total_Cars,Car_Ownership_Rate,IDACI_Score,IDACI_High_Poverty_Area,IDAOPI_Score,IDAOPI_High_Poverty_Area,2019-20 Mean income,2019-20 Median,2020-21 Mean,2020-21 Median,2021-22 Mean,2021-22 Median,Job Density 2019,Job Density 2021,Job Density 2022,Income_Deprivation_Score,Income_High_Poverty_Area,Employment_Deprivation_Score,Employment_High_Poverty_Area,IMD_Score,IMD_Rank,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,Census population,Trafficflow2019,Trafficflow2020,Trafficflow2021,Trafficflow2022,Trafficflow2023,Totalaccidents,Fatal,Serious,Slight,Pedestrians,Pedal Cyclists,Powered two-wheelers,Car Occupants,Other,Trips per day,Rail,Underground/DLR,Bus/Tram,Taxi/Other,Car/Motorcycle,Cycle,Walk,All modes,Average home to work travel time (minutes)
E09000001,City of London,4338,2691,1417,184,1941,37.96680497925311,0.071,0,0.083,0,128000,54200,142000,56700,167000,62200,102.32,98.74,102.98,0.1,0,0.1,0,11.514,22758.4,8526,290,315,29.4,2.9,2936,7400,150,117,128,121,120,380,1,40,339,113,127,57,33,50,250,19,26,8,3,7,2,35,100,5
E09000002,Barking and Dagenham,67273,25511,30279,9688,55516,62.078396979471705,0.238,0.055,0.261,0.164,29400,25700,30800,26800,31800,28000,0.5,0.51,0.53,0.2,0,0.1,0,34.09440366972477,7099.045871559633,229337,3611,3780,63.5,36.1,6351,185900,661,559,603,641,634,545,3,45,497,82,44,63,310,46,300,2,5,16,1,40,1,35,100,37
E09000003,Barnet,126944,33925,57039,28680,138587,73.27561759516007,0.126,0.005,0.163,0.066,51600,30700,54400,32200,59100,33500,0.66,0.7,0.66,0.1,0,0.1,0,16.488761904761905,18358.42857142857,420924,8675,8675,48.5,86.7,4852,356400,1822,1448,1618,1647,1666,1520,9,123,1388,241,82,173,913,111,770,1,5,12,1,49,1,31,100,35
E09000004,Bexley,89451,21217,41958,20986,101302,76.28086885557455,0.16,0.021,0.109,0.021,36000,28000,36400,28800,38000,29300,0.59,0.56,0.59,0.1,0,0.1,0,16.520068493150685,18952.027397260277,262798,6058,6429,43.4,60.6,4338,232000,1034,869,964,992,995,589,2,66,521,87,53,63,333,53,334,4,0,8,1,59,1,27,100,36
E09000005,Brent,99991,37287,42606,16207,87757,62.70964386794812,0.182,0.041,0.258,0.202,37800,26200,40400,27200,44100,30000,0.71,0.63,0.63,0.2,0.1,0.1,0,30.166149425287355,9332.21264367816,353130,4323,4323,81.7,43.2,8168,311200,1025,883,965,962,970,928,3,81,844,191,81,145,441,70,611,2,7,16,1,44,1,29,100,38
E09000006,Bromley,125866,28950,57751,31154,146603,76.99934851349848,0.131,0.066,0.101,0.025,48200,33700,49300,33800,54500,35800,0.64,0.6,0.66,0.1,0,0.1,0,14.962081218274111,20646.11675126904,347455,15013,15013,23.1,150.1,2314,309400,1469,1195,1368,1400,1409,816,3,87,726,124,88,104,445,55,728,6,0,8,0,56,1,29,100,40
E09000007,Camden,91603,50946,33084,6280,49961,44.38391755728525,0.193,0.098,0.232,0.241,96900,38200,107000,38900,119000,38900,2.11,2.73,2.82,0.1,0.1,0.1,0,24.95684210526316,12442.887218045113,263550,2179,2179,121,21.8,12095,220300,483,392,435,445,441,964,7,105,852,251,234,176,189,114,744,5,15,16,2,18,3,42,100,33
E09000008,Croydon,138999,41461,63286,27640,140446,70.17172785415721,0.185,0.064,0.156,0.073,37800,29400,38300,29100,40900,30400,0.58,0.55,0.59,0.1,0.1,0.1,0,22.549636363636363,14280.272727272728,416582,8650,8650,48.2,86.5,4816,363400,1358,1136,1286,1319,1335,"1,122",5,82,"1,035",211,71,135,599,106,665,6,0,17,0,51,1,25,100,39
E09000009,Ealing,118023,37372,54259,21761,112907,68.33498555366326,0.166,0.036,0.223,0.158,42700,28200,44100,29500,46800,30900,0.71,0.63,0.64,0.1,0.1,0.1,0,24.90292307692308,12522.22564102564,393434,5554,5554,70.8,55.5,7083,338400,1370,1162,1257,1293,1265,1053,4,81,968,211,100,151,498,93,621,2,8,16,0,47,2,26,100,39
E09000010,Enfield,110398,31496,50201,22814,115205,71.470497653943,0.225,0.071,0.21,0.175,39500,28300,40700,29500,42800,29900,0.63,0.58,0.61,0.2,0.1,0.1,0,25.97883977900553,12519.972375690608,355209,8083,8220,43.9,80.8,4394,312500,1789,1442,1603,1764,1794,"1,075",7,91,977,170,55,85,644,121,564,3,3,15,1,52,0,26,100,43
