Borough,Total_Households,No_Car_Households,One_Car_Households,Two_Car_Households,Total_Cars,Car_Ownership_Rate
City of London,4338,2691,1417,184,1941,37.96680497925311
Barking and Dagenham,67273,25511,30279,9688,55516,62.078396979471705
Barnet,126944,33925,57039,28680,138587,73.27561759516007
Bexley,89451,21217,41958,20986,101302,76.28086885557455
Brent,99991,37287,42606,16207,87757,62.70964386794812
Bromley,125866,28950,57751,31154,146603,76.99934851349848
Camden,91603,50946,33084,6280,49961,44.383917557285244
Croydon,138999,41461,63286,27640,140446,70.17172785415721
Ealing,118023,37372,54259,21761,112907,68.33498555366326
Enfield,110398,31496,50201,22814,115205,71.470497653943
Greenwich,92788,37883,40160,12260,72889,59.17252230891925
Hackney,86042,48219,31876,5018,45068,43.95876432439971
Hammersmith and Fulham,75438,36630,30461,7032,48868,51.44356955380578
Haringey,92170,42820,38005,9622,62949,53.54236736465228
Harrow,79112,17972,34900,20789,94385,77.28283951865708
Havering,91722,21374,42078,22131,106653,76.6969756437932
Hillingdon,96643,20972,43116,25690,117298,78.29951470877351
Hounslow,83994,24049,38920,16868,86270,71.36819296616426
Islington,82281,47413,29194,4795,41746,42.37673338923932
Kensington and Chelsea,79146,39870,31041,6633,49776,49.62474414373437
Kingston upon Thames,61426,14621,29049,14336,69010,76.19737570409923
Lambeth,118447,60338,46080,10166,72594,49.05907283426343
Lewisham,107412,45941,46679,12484,79270,57.22917364912672
Merton,78884,23775,38143,13803,76103,69.86080827544242
Newham,91821,44866,37811,7789,57855,51.13753934285186
Redbridge,92288,24198,43047,20140,99404,73.77990638002774
Richmond upon Thames,76146,18047,37723,16871,82946,76.29947731988548
Southwark,105806,54940,40947,8454,62773,48.07477836795645
Sutton,76402,17790,35264,18470,88361,76.71526923378968
Tower Hamlets,78530,44582,28997,4250,39839,43.229339106074114
Waltham Forest,89788,34975,39562,12512,73529,61.04713324720452
Wandsworth,115653,47066,51440,14437,89201,59.304125271285656
Westminster,91172,51452,32108,6241,49316,43.56600710744527
Inner London,1219859,617774,479140,103385,751157,49.356933875144584
Outer London,1796138,512875,819341,372800,1865171,71.44567956359701
North East,1066292,383219,459288,186519,955305,64.0605950340057
North West,2812789,849769,1224554,605586,2874991,69.78909544939205
Yorkshire and The Humber,2064748,625896,911246,433671,2090309,69.68656707743511
East Midlands,1732482,420165,770028,437345,1994933,75.74779997714262
West Midlands,2153672,576484,923743,521452,2406815,73.23250708557292
East of England,2231974,441915,984244,631976,2831718,80.20071022332698
London,3015997,1130649,1298481,476185,2616328,62.51160064151258
South East,3287489,638772,1400989,971698,4271483,80.56960798956285
South West,2085984,421517,963145,554149,2565747,79.7928939052265
England,20451427,5488386,8935718,4818581,22607629,73.16379927914076
Wales,1209048,313797,550648,277378,1328621,74.04594358536633
England and Wales,21660475,5802183,9486366,5095959,23936250,73.21303895690193
