Borough,2018-19 Mean,2018-19 Median,2019-20 Mean,2019-20 Median,2020-21 Mean,2020-21 Median,2021-22 Mean,2021-22 Median
City of London,142000.0,55200.0,128000.0,54200.0,142000.0,56700.0,167000.0,62200.0
Barking and Dagenham,28800.0,25200.0,29400.0,25700.0,30800.0,26800.0,31800.0,28000.0
Barnet,51600.0,29900.0,51600.0,30700.0,54400.0,32200.0,59100.0,33500.0
Bexley,34600.0,26900.0,36000.0,28000.0,36400.0,28800.0,38000.0,29300.0
Brent,36300.0,25600.0,37800.0,26200.0,40400.0,27200.0,44100.0,30000.0
Bromley,46600.0,32800.0,48200.0,33700.0,49300.0,33800.0,54500.0,35800.0
Camden,87400.0,35600.0,96900.0,38200.0,107000.0,38900.0,119000.0,38900.0
Croydon,36500.0,27800.0,37800.0,29400.0,38300.0,29100.0,40900.0,30400.0
Ealing,39800.0,26400.0,42700.0,28200.0,44100.0,29500.0,46800.0,30900.0
Enfield,37200.0,27300.0,39500.0,28300.0,40700.0,29500.0,42800.0,29900.0
Greenwich,41300.0,27400.0,44700.0,30100.0,46400.0,30600.0,48900.0,31800.0
Hackney,44900.0,29600.0,47200.0,32400.0,49400.0,32800.0,52500.0,34300.0
Hammersmith and Fulham,72600.0,34100.0,75900.0,35800.0,77800.0,36200.0,83600.0,37000.0
Haringey,46300.0,27400.0,48600.0,28300.0,50200.0,30000.0,57100.0,31300.0
Harrow,39300.0,27600.0,41500.0,29500.0,42800.0,30200.0,46500.0,32300.0
Havering,37100.0,29700.0,38100.0,29800.0,38000.0,29000.0,40000.0,29800.0
Hillingdon,36800.0,28100.0,37300.0,28100.0,38200.0,28400.0,41600.0,30600.0
Hounslow,42000.0,27800.0,41700.0,27500.0,43000.0,28500.0,45400.0,29300.0
Islington,63900.0,35100.0,66100.0,36400.0,70100.0,35600.0,76600.0,38200.0
Kensington and Chelsea,173000.0,39300.0,185000.0,42100.0,198000.0,43300.0,208000.0,43900.0
Kingston-upon-Thames,50300.0,33300.0,50500.0,33500.0,54000.0,34700.0,56500.0,35900.0
Lambeth,47500.0,31900.0,49100.0,31900.0,51900.0,32800.0,56100.0,34500.0
Lewisham,38000.0,27900.0,41100.0,30100.0,42600.0,30900.0,44800.0,32000.0
Merton,56300.0,30300.0,55300.0,30300.0,58500.0,32600.0,63000.0,33900.0
Newham,31000.0,24300.0,31700.0,24600.0,34300.0,26600.0,36100.0,28300.0
Redbridge,37100.0,27300.0,38500.0,28900.0,40300.0,30400.0,42700.0,31200.0
Richmond-upon-Thames,73800.0,37600.0,77400.0,38900.0,77900.0,39500.0,90400.0,44000.0
Southwark,49400.0,31400.0,53400.0,33500.0,55300.0,33900.0,57800.0,34400.0
Sutton,38500.0,29700.0,40200.0,30200.0,41400.0,31400.0,45200.0,33300.0
Tower Hamlets,49300.0,31100.0,50100.0,32700.0,52700.0,34100.0,55500.0,35500.0
Waltham Forest,33700.0,26800.0,34900.0,27700.0,37100.0,28900.0,40100.0,30900.0
Wandsworth,70400.0,37100.0,72400.0,38900.0,75300.0,39000.0,79700.0,40200.0
Westminster,120000.0,39200.0,118000.0,39900.0,123000.0,42100.0,133000.0,41200.0
North East,28800.0,22900.0,30000.0,23800.0,30600.0,24300.0,31500.0,24900.0
North West,30900.0,23700.0,32100.0,24600.0,32600.0,25000.0,34000.0,25700.0
Yorkshire and The Humber,30200.0,23300.0,31200.0,24300.0,31500.0,24500.0,33000.0,25300.0
East Midlands,31000.0,23700.0,32100.0,24700.0,32200.0,24800.0,33800.0,25800.0
West Midlands,31200.0,23600.0,32000.0,24500.0,32200.0,24700.0,33600.0,25500.0
East of England,36800.0,26000.0,38000.0,27100.0,38600.0,27500.0,40900.0,28400.0
London,50100.0,29600.0,51800.0,30700.0,54200.0,31500.0,58300.0,32900.0
South East,39900.0,27100.0,41400.0,28200.0,42000.0,28600.0,44700.0,29700.0
South West,32100.0,24400.0,33200.0,25300.0,33700.0,25500.0,35300.0,26400.0
England,36200.0,25300.0,37500.0,26300.0,38200.0,26600.0,40300.0,27500.0
Wales,28900.0,23200.0,30000.0,24100.0,30400.0,24400.0,31600.0,25200.0
Scotland,32200.0,24600.0,33300.0,25700.0,33600.0,26000.0,35100.0,26800.0
Northern Ireland,29200.0,23400.0,30600.0,24600.0,31100.0,24800.0,32400.0,25800.0
United Kingdom,35400.0,25000.0,36700.0,26000.0,37300.0,26300.0,39400.0,27200.0
