Code,Area,2019,2020,2021,2022
E09000001,City of London,102.32,83.73,98.74,102.98
E09000002,Barking and Dagenham,0.50,0.52,0.51,0.53
E09000003,Barnet,0.66,0.64,0.70,0.66
E09000004,Bexley,0.59,0.54,0.56,0.59
E09000005,Brent,0.71,0.69,0.63,0.63
E09000006,Bromley,0.64,0.62,0.60,0.66
E09000007,Camden,2.11,1.98,2.73,2.82
E09000008,Croydon,0.58,0.58,0.55,0.59
E09000009,Ealing,0.71,0.72,0.63,0.64
E09000010,Enfield,0.63,0.59,0.58,0.61
E09000011,Greenwich,0.55,0.52,0.51,0.53
E09000012,Hackney,0.77,0.76,0.92,0.96
E09000013,Hammersmith and Fulham,1.22,1.28,1.12,1.18
E09000014,Haringey,0.48,0.51,0.49,0.57
E09000015,Harrow,0.57,0.57,0.50,0.54
E09000016,Havering,0.61,0.59,0.64,0.67
E09000017,Hillingdon,1.04,1.03,1.02,1.09
E09000018,Hounslow,1.04,0.95,0.89,0.92
E09000019,Islington,1.44,1.32,1.64,1.70
E09000020,Kensington and Chelsea,1.54,1.41,1.54,1.56
E09000021,Kingston upon Thames,0.78,0.76,0.80,0.84
E09000022,Lambeth,0.76,0.73,0.73,0.80
E09000023,Lewisham,0.40,0.39,0.42,0.45
E09000024,Merton,0.73,0.71,0.64,0.62
E09000025,Newham,0.53,0.55,0.58,0.63
E09000026,Redbridge,0.49,0.46,0.46,0.47
E09000027,Richmond upon Thames,0.82,0.80,0.78,0.81
E09000028,Southwark,1.38,1.34,1.32,1.47
E09000029,Sutton,0.64,0.63,0.71,0.79
E09000030,Tower Hamlets,1.43,1.32,1.31,1.35
E09000031,Waltham Forest,0.49,0.46,0.43,0.49
E09000032,Wandsworth,0.64,0.62,0.62,0.63
E09000033,Westminster,4.35,3.93,5.26,5.45
