Borough,Total_Accidents,Fatal,Serious,Slight,Pedestrians,Pedal_Cyclists,Powered_Two_Wheelers,Car_Occupants,Fatal_Rate,Serious_Rate,Pedestrian_Rate
City of London,380.0,1.0,40.0,339.0,113.0,127.0,57.0,33.0,0.002631578947368421,0.10526315789473684,0.29736842105263156
Barking & Dagenham,545.0,3.0,45.0,497.0,82.0,44.0,63.0,310.0,0.005504587155963303,0.08256880733944955,0.15045871559633028
Barnet,1520.0,9.0,123.0,1388.0,241.0,82.0,173.0,913.0,0.0059210526315789476,0.08092105263157895,0.15855263157894736
Bexley,589.0,2.0,66.0,521.0,87.0,53.0,63.0,333.0,0.003395585738539898,0.11205432937181664,0.14770797962648557
Brent,928.0,3.0,81.0,844.0,191.0,81.0,145.0,441.0,0.003232758620689655,0.08728448275862069,0.20581896551724138
Bromley,816.0,3.0,87.0,726.0,124.0,88.0,104.0,445.0,0.003676470588235294,0.10661764705882353,0.15196078431372548
Camden,964.0,7.0,105.0,852.0,251.0,234.0,176.0,189.0,0.007261410788381743,0.10892116182572614,0.2603734439834025
Croydon,,5.0,82.0,,211.0,71.0,135.0,599.0,,,
Ealing,1053.0,4.0,81.0,968.0,211.0,100.0,151.0,498.0,0.003798670465337132,0.07692307692307693,0.2003798670465337
Enfield,,7.0,91.0,977.0,170.0,55.0,85.0,644.0,,,
Greenwich,852.0,5.0,99.0,748.0,147.0,72.0,124.0,399.0,0.005868544600938967,0.11619718309859155,0.17253521126760563
Hackney,898.0,5.0,98.0,795.0,172.0,197.0,128.0,309.0,0.005567928730512249,0.1091314031180401,0.1915367483296214
Hammersmith & Fulham,690.0,2.0,72.0,616.0,126.0,167.0,174.0,172.0,0.002898550724637681,0.10434782608695652,0.1826086956521739
Haringey,984.0,1.0,78.0,905.0,212.0,96.0,127.0,447.0,0.0010162601626016261,0.07926829268292683,0.21544715447154472
Harrow,551.0,2.0,37.0,512.0,104.0,30.0,41.0,349.0,0.003629764065335753,0.06715063520871144,0.18874773139745918
Havering,793.0,5.0,58.0,730.0,99.0,34.0,66.0,528.0,0.006305170239596469,0.07313997477931904,0.12484237074401008
Hillingdon,1080.0,8.0,75.0,997.0,122.0,80.0,93.0,726.0,0.007407407407407408,0.06944444444444445,0.11296296296296296
Hounslow,975.0,7.0,90.0,878.0,119.0,110.0,137.0,547.0,0.0071794871794871795,0.09230769230769231,0.12205128205128205
Islington,833.0,2.0,79.0,752.0,189.0,232.0,169.0,163.0,0.0024009603841536613,0.09483793517406963,0.226890756302521
Kensington & Chelsea,792.0,3.0,77.0,712.0,171.0,187.0,220.0,152.0,0.003787878787878788,0.09722222222222222,0.2159090909090909
Kingston,427.0,1.0,45.0,381.0,57.0,61.0,58.0,224.0,0.00234192037470726,0.1053864168618267,0.13348946135831383
Lambeth,,2.0,154.0,,253.0,273.0,262.0,338.0,,,
Lewisham,938.0,3.0,105.0,830.0,178.0,123.0,143.0,400.0,0.0031982942430703624,0.11194029850746269,0.18976545842217485
Merton,458.0,2.0,37.0,419.0,88.0,64.0,76.0,204.0,0.004366812227074236,0.08078602620087336,0.19213973799126638
Newham,911.0,5.0,76.0,830.0,216.0,90.0,86.0,456.0,0.005488474204171241,0.08342480790340286,0.23710208562019758
Redbridge,938.0,3.0,73.0,862.0,156.0,42.0,76.0,583.0,0.0031982942430703624,0.07782515991471216,0.16631130063965885
Richmond,475.0,1.0,71.0,403.0,79.0,110.0,97.0,165.0,0.002105263157894737,0.14947368421052631,0.16631578947368422
Southwark,,8.0,157.0,984.0,206.0,265.0,229.0,336.0,,,
Sutton,481.0,2.0,47.0,432.0,68.0,40.0,70.0,261.0,0.004158004158004158,0.09771309771309772,0.14137214137214138
Tower Hamlets,970.0,6.0,85.0,879.0,181.0,177.0,158.0,387.0,0.006185567010309278,0.08762886597938144,0.1865979381443299
Waltham Forest,786.0,2.0,65.0,719.0,129.0,76.0,76.0,448.0,0.002544529262086514,0.08269720101781171,0.16412213740458015
Wandsworth,,3.0,99.0,922.0,188.0,238.0,244.0,292.0,,,
Westminster,1599.0,4.0,182.0,1413.0,450.0,308.0,331.0,282.0,0.0025015634771732333,0.11382113821138211,0.28142589118198874
Inner London,12382.0,51.0,1352.0,10979.0,2625.0,2600.0,2415.0,3452.0,0.004118882248425134,0.10919076078178,0.21200129219835245
Outer London,,75.0,,,,,,,,,
London,,126.0,,,,,,,,,
